,user_id,product_id,score
0,US041020210001,PD041020210001,4.0
1,US071020210001,PD041020210001,2.5
2,US281020210001,PD041020210001,1.0
3,US281020210042,PD041020210001,1.5
4,US281020210048,PD041020210001,1.5
5,US281020210053,PD041020210001,2.0
6,US281020210069,PD041020210001,5.0
7,US281020210070,PD041020210001,5.0
8,US041020210001,PD041020210002,2.5
9,US191020210007,PD041020210002,2.5
10,US191020210010,PD041020210002,2.5
11,US271020210021,PD041020210002,4.0
12,US271020210032,PD041020210002,3.0
13,US281020210042,PD041020210002,1.0
14,US281020210048,PD041020210002,1.0
15,US281020210050,PD041020210002,2.5
16,US281020210054,PD041020210002,2.0
17,US281020210055,PD041020210002,2.5
18,US281020210057,PD041020210002,3.0
19,US281020210058,PD041020210002,3.0
20,US281020210060,PD041020210002,4.0
21,US281020210062,PD041020210002,4.0
22,US281020210063,PD041020210002,4.5
23,US281020210065,PD041020210002,4.5
24,US041020210001,PD041020210003,4.0
25,US191020210003,PD041020210003,3.0
26,US191020210008,PD041020210003,3.5
27,US271020210023,PD041020210003,2.0
28,US271020210035,PD041020210003,3.5
29,US281020210045,PD041020210003,1.5
30,US281020210053,PD041020210003,2.5
31,US281020210060,PD041020210003,4.5
32,US281020210063,PD041020210003,4.0
33,US281020210069,PD041020210003,5.0
34,US281020210071,PD041020210003,5.0
35,US191020210002,PD041020210004,2.5
36,US191020210006,PD041020210004,4.0
37,US191020210009,PD041020210004,1.5
38,US271020210022,PD041020210004,3.0
39,US271020210037,PD041020210004,3.5
40,US281020210047,PD041020210004,1.0
41,US281020210050,PD041020210004,2.0
42,US281020210055,PD041020210004,2.0
43,US281020210058,PD041020210004,3.0
44,US281020210061,PD041020210004,4.5
45,US281020210063,PD041020210004,4.5
46,US281020210065,PD041020210004,4.5
47,US061020210001,PD041020210005,4.0
48,US191020210001,PD041020210005,3.0
49,US191020210006,PD041020210005,3.5
50,US191020210009,PD041020210005,5.0
51,US271020210023,PD041020210005,4.0
52,US271020210033,PD041020210005,3.5
53,US281020210044,PD041020210005,1.0
54,US281020210045,PD041020210005,1.0
55,US281020210053,PD041020210005,2.5
56,US281020210054,PD041020210005,2.5
57,US281020210061,PD041020210005,4.5
58,US281020210065,PD041020210005,4.5
59,US281020210066,PD041020210005,4.5
60,US191020210005,PD081020210006,2.5
61,US191020210012,PD081020210006,2.0
62,US271020210024,PD081020210006,3.5
63,US271020210031,PD081020210006,2.5
64,US271020210036,PD081020210006,2.5
65,US281020210049,PD081020210006,1.0
66,US281020210051,PD081020210006,2.0
67,US281020210056,PD081020210006,2.5
68,US281020210067,PD081020210006,5.0
69,US191020210004,PD081020210007,3.5
70,US191020210010,PD081020210007,3.5
71,US271020210021,PD081020210007,3.5
72,US271020210030,PD081020210007,1.0
73,US271020210034,PD081020210007,3.5
74,US281020210001,PD081020210007,1.5
75,US281020210041,PD081020210007,1.5
76,US281020210042,PD081020210007,1.5
77,US281020210045,PD081020210007,1.5
78,US281020210049,PD081020210007,1.0
79,US281020210050,PD081020210007,2.0
80,US281020210051,PD081020210007,2.5
81,US281020210052,PD081020210007,2.0
82,US281020210055,PD081020210007,2.0
83,US281020210057,PD081020210007,3.0
84,US281020210058,PD081020210007,3.0
85,US281020210062,PD081020210007,4.5
86,US281020210063,PD081020210007,4.5
87,US281020210065,PD081020210007,4.0
88,US281020210067,PD081020210007,5.0
89,US041020210001,PD151020210001,3.0
90,US271020210001,PD151020210001,4.0
91,US271020210033,PD151020210001,4.5
92,US281020210046,PD151020210001,1.0
93,US281020210054,PD151020210001,2.5
94,US281020210058,PD151020210001,3.0
95,US281020210062,PD151020210001,4.5
96,US281020210064,PD151020210001,4.0
97,US281020210066,PD151020210001,4.5
98,US281020210067,PD151020210001,5.0
99,US281020210068,PD151020210001,5.0
100,US191020210004,PD161020210001,3.0
101,US191020210012,PD161020210001,4.5
102,US281020210046,PD161020210001,1.0
103,US281020210052,PD161020210001,2.0
104,US281020210070,PD161020210001,5.0
105,US191020210001,PD161020210008,4.5
106,US191020210008,PD161020210008,4.0
107,US271020210025,PD161020210008,3.5
108,US271020210028,PD161020210008,3.5
109,US271020210030,PD161020210008,3.5
110,US281020210043,PD161020210008,1.0
111,US281020210045,PD161020210008,1.5
112,US281020210047,PD161020210008,1.0
113,US281020210057,PD161020210008,3.0
114,US281020210061,PD161020210008,4.0
115,US281020210062,PD161020210008,4.5
116,US281020210065,PD161020210008,4.5
117,US281020210067,PD161020210008,5.0
118,US191020210007,PD191020210001,3.5
119,US281020210050,PD191020210001,2.0
120,US281020210051,PD191020210001,2.0
121,US191020210005,PD191020210009,4.0
122,US271020210022,PD191020210009,3.0
123,US271020210032,PD191020210009,3.0
124,US281020210001,PD191020210009,2.0
125,US281020210069,PD191020210009,5.0
126,US061020210001,PD191020210010,3.5
127,US191020210008,PD191020210010,3.0
128,US271020210024,PD191020210010,3.0
129,US271020210026,PD191020210010,3.5
130,US271020210023,PD191020210011,5.0
131,US271020210025,PD191020210011,1.0
132,US271020210037,PD191020210011,2.5
133,US281020210040,PD191020210011,1.5
134,US281020210049,PD191020210011,1.0
135,US191020210003,PD191020210012,3.5
136,US191020210008,PD191020210012,2.0
137,US271020210028,PD191020210012,2.5
138,US271020210032,PD191020210012,2.5
139,US191020210002,PD191020210013,4.0
140,US191020210008,PD191020210013,2.5
141,US271020210021,PD191020210013,3.0
142,US271020210027,PD191020210013,2.5
143,US271020210033,PD191020210013,4.0
144,US281020210041,PD191020210013,1.5
145,US281020210042,PD191020210013,1.5
146,US281020210045,PD191020210013,1.5
147,US281020210049,PD191020210013,1.5
148,US281020210051,PD191020210013,2.5
149,US281020210053,PD191020210013,2.5
150,US281020210055,PD191020210013,2.5
151,US281020210058,PD191020210013,3.0
152,US281020210059,PD191020210013,4.5
153,US281020210061,PD191020210013,4.5
154,US281020210064,PD191020210013,4.5
155,US281020210065,PD191020210013,4.0
156,US281020210067,PD191020210013,5.0
157,US271020210031,PD221020210001,4.0
158,US251020210001,PD221020210014,2.5
159,US271020210027,PD221020210014,3.5
160,US281020210056,PD221020210014,2.0
161,US281020210059,PD221020210014,4.0
162,US281020210071,PD221020210014,5.0
163,US281020210039,PD271020210001,1.5
164,US281020210066,PD271020210001,4.5
165,US271020210001,PD271020210015,3.0
166,US271020210024,PD271020210015,4.0
167,US281020210047,PD271020210015,1.0
168,US271020210036,PD271020210016,3.0
169,US281020210047,PD271020210016,1.0
170,US281020210064,PD271020210016,4.0
171,US281020210066,PD271020210017,4.5
172,US271020210026,PD271020210019,4.5
173,US271020210021,PD271020210020,5.0
174,US271020210027,PD271020210021,4.0
175,US281020210064,PD271020210021,4.5
176,US281020210066,PD271020210021,4.5
177,US271020210001,PD271020210022,4.5
178,US281020210065,PD271020210022,4.5
179,US271020210001,PD271020210023,4.0
180,US271020210028,PD271020210024,4.0
181,US281020210060,PD271020210024,4.0
182,US271020210032,PD271020210025,3.5
183,US281020210050,PD271020210025,2.0
184,US281020210064,PD271020210025,4.5
185,US281020210065,PD271020210025,4.5
186,US271020210027,PD271020210026,3.5
187,US281020210041,PD271020210026,1.0
188,US281020210049,PD271020210026,1.0
189,US281020210050,PD271020210026,2.0
190,US281020210065,PD271020210026,4.5
191,US281020210060,PD271020210027,4.0
192,US271020210026,PD271020210028,3.5
193,US281020210060,PD271020210028,4.5
194,US271020210026,PD271020210029,3.5
195,US271020210035,PD271020210029,2.0
196,US271020210027,PD271020210030,3.0
197,US271020210028,PD271020210031,3.5
198,US271020210024,PD271020210032,4.5
199,US271020210035,PD271020210032,2.5
200,US281020210047,PD271020210033,1.0
201,US271020210023,PD271020210034,2.5
202,US281020210071,PD271020210034,5.0
203,US281020210040,PD271020210035,1.0
204,US281020210071,PD271020210035,5.0
205,US271020210025,PD271020210036,3.5
206,US281020210044,PD271020210036,1.0
207,US281020210046,PD271020210036,1.5
208,US281020210071,PD271020210036,5.0
209,US271020210035,PD271020210037,1.5
210,US281020210046,PD271020210037,1.5
211,US281020210044,PD271020210039,1.0
212,US271020210023,PD271020210040,3.5
213,US281020210044,PD271020210040,2.5
214,US281020210053,PD271020210040,2.0
215,US271020210021,PD271020210041,3.0
216,US271020210025,PD271020210041,3.5
217,US271020210035,PD271020210041,3.5
218,US271020210036,PD271020210041,3.0
219,US281020210040,PD271020210041,1.5
220,US281020210044,PD271020210041,1.5
221,US281020210046,PD271020210041,1.5
222,US281020210050,PD271020210041,2.5
223,US281020210054,PD271020210041,2.0
224,US281020210062,PD271020210041,4.5
225,US281020210069,PD271020210041,5.0
226,US271020210022,PD271020210042,2.0
227,US271020210035,PD271020210042,3.0
228,US281020210041,PD271020210042,1.0
229,US281020210070,PD271020210042,5.0
230,US271020210029,PD271020210043,4.0
231,US271020210030,PD271020210043,3.5
232,US271020210034,PD271020210043,2.5
233,US281020210039,PD271020210043,1.5
234,US281020210042,PD271020210043,1.0
235,US281020210052,PD271020210043,2.0
236,US281020210061,PD271020210043,4.0
237,US281020210068,PD271020210043,5.0
238,US281020210070,PD271020210043,5.0
239,US271020210029,PD271020210044,3.5
240,US271020210033,PD271020210044,2.5
241,US271020210036,PD271020210044,3.5
242,US281020210048,PD271020210044,1.5
243,US281020210042,PD271020210045,1.5
244,US281020210057,PD271020210045,3.0
245,US281020210059,PD271020210045,4.0
246,US281020210068,PD271020210045,5.0
247,US271020210026,PD271020210046,2.0
248,US271020210029,PD271020210046,3.5
249,US271020210030,PD271020210046,2.5
250,US271020210031,PD271020210046,3.5
251,US281020210042,PD271020210046,1.5
252,US281020210043,PD271020210046,1.0
253,US281020210049,PD271020210046,1.5
254,US281020210063,PD271020210046,4.0
255,US271020210021,PD271020210047,2.0
256,US271020210029,PD271020210047,3.0
257,US271020210031,PD271020210047,3.0
258,US281020210001,PD271020210047,2.0
259,US281020210042,PD271020210047,1.5
260,US281020210048,PD271020210047,1.0
261,US281020210059,PD271020210047,4.0
262,US281020210069,PD271020210047,5.0
263,US271020210023,PD271020210048,1.5
264,US271020210030,PD271020210048,4.5
265,US271020210031,PD271020210048,3.0
266,US271020210037,PD271020210048,3.5
267,US281020210042,PD271020210048,1.0
268,US281020210049,PD271020210048,1.0
269,US281020210052,PD271020210048,2.5
270,US281020210057,PD271020210048,3.0
271,US271020210001,PD271020210049,1.5
272,US271020210028,PD271020210049,3.5
273,US271020210029,PD271020210049,3.5
274,US271020210034,PD271020210049,3.0
275,US281020210001,PD271020210049,1.5
276,US281020210048,PD271020210049,1.5
277,US281020210050,PD271020210049,2.0
278,US281020210052,PD271020210049,2.5
279,US281020210064,PD271020210049,4.0
280,US271020210034,PD271020210050,4.0
281,US281020210039,PD271020210050,1.0
282,US281020210051,PD271020210050,2.0
283,US281020210056,PD271020210050,3.0
284,US271020210034,PD271020210051,3.0
285,US271020210037,PD271020210051,1.5
286,US281020210043,PD271020210051,1.0
287,US281020210068,PD271020210051,5.0
288,US271020210024,PD271020210052,2.0
289,US271020210032,PD271020210052,3.5
290,US281020210039,PD271020210052,1.5
291,US281020210040,PD271020210052,1.5
292,US281020210042,PD271020210052,1.0
293,US281020210054,PD271020210052,2.0
294,US281020210056,PD271020210052,2.0
295,US281020210059,PD271020210052,4.0
296,US271020210025,PD271020210053,3.0
297,US281020210042,PD271020210053,1.5
298,US271020210022,PD271020210054,3.5
299,US281020210039,PD271020210054,2.0
300,US281020210040,PD271020210054,1.0
301,US281020210055,PD271020210054,2.0
302,US281020210070,PD271020210054,5.0
303,US271020210022,PD271020210055,2.0
304,US271020210037,PD271020210055,3.0
305,US281020210043,PD271020210055,1.0
306,US281020210068,PD271020210055,5.0
307,US271020210033,PD271020210056,2.0
308,US281020210041,PD271020210056,1.0
309,US281020210055,PD271020210056,2.5
